time,ax,ay,az,atotal
583.994,1.17,-1.06,-0.09,1.58
583.994,-0.85,-0.07,-0.30,0.90
583.994,-0.39,1.60,0.08,1.65
583.994,0.85,0.80,0.55,1.29
583.994,0.14,0.01,0.58,0.60
583.994,-0.19,0.22,0.30,0.42
583.994,-0.14,0.71,0.05,0.72
583.994,0.08,0.58,-0.04,0.58
583.994,-0.08,0.15,0.03,0.18
583.994,-0.15,-0.35,0.13,0.41
583.994,-0.17,-0.52,0.19,0.58
583.994,0.02,-0.50,0.32,0.59
583.994,-0.18,-0.35,0.57,0.70
583.994,-0.70,-0.21,0.67,0.99
583.994,-0.89,-0.15,0.60,1.09
583.994,-0.86,0.68,0.38,1.16
583.994,-0.61,1.72,0.43,1.88
583.994,0.03,1.63,0.51,1.71
583.994,-0.36,1.08,0.06,1.14
583.994,-0.75,0.72,-0.17,1.05
583.994,-0.32,0.43,-0.39,0.66
583.994,-0.01,0.04,-0.42,0.43
583.994,-0.05,-0.23,-0.17,0.29
583.994,-0.08,-0.37,0.10,0.39
583.994,0.05,-0.36,0.21,0.42
583.994,0.32,-0.28,0.29,0.51
583.994,0.43,-0.21,0.39,0.61
583.994,0.40,-0.07,0.48,0.63
583.994,0.34,0.08,0.42,0.55
583.994,0.29,0.26,0.20,0.44
583.994,0.23,0.38,0.00,0.45
583.994,0.06,0.40,-0.01,0.40
583.994,-0.33,0.57,-0.16,0.68
583.994,-0.29,0.81,-0.26,0.90
583.994,-0.41,0.87,-0.17,0.98
583.994,-0.59,0.75,-0.13,0.96
583.994,-0.68,0.52,-0.09,0.87
583.994,-0.70,0.40,-0.05,0.81
583.994,-0.74,0.38,0.02,0.84
583.994,-0.56,0.31,0.10,0.65
583.994,-0.46,0.37,0.14,0.60
583.994,-0.30,0.45,0.08,0.54
583.994,-0.22,0.38,0.16,0.47
583.994,-0.25,0.35,0.21,0.48
583.994,-0.31,0.28,0.09,0.42
583.994,-0.06,0.27,0.04,0.28
583.994,-0.17,0.13,0.18,0.28
583.994,-0.16,-0.05,0.32,0.36
583.994,-0.08,-0.11,0.35,0.38
583.994,0.09,-0.21,0.42,0.48
583.994,0.00,-0.35,0.48,0.59
583.994,-0.02,-0.39,0.50,0.63
583.994,0.03,-0.27,0.36,0.45
583.994,-0.05,-0.22,0.37,0.43
583.994,-0.09,-0.13,0.22,0.27
583.994,-0.12,-0.07,0.06,0.15
583.994,-0.22,0.05,0.06,0.23
583.994,0.06,0.02,0.10,0.12
583.994,0.05,0.02,0.06,0.08
583.994,0.08,-0.02,-0.04,0.09
583.994,0.01,0.03,-0.10,0.11
583.994,0.07,0.05,0.02,0.09
583.994,0.13,0.05,-0.07,0.16
583.994,0.09,0.15,-0.34,0.38
583.994,0.10,0.27,-0.42,0.52
583.994,0.08,0.35,-0.24,0.43
583.994,0.13,0.38,-0.00,0.40
583.994,0.12,0.34,0.23,0.43
583.994,0.19,0.21,0.48,0.55
583.994,0.18,0.20,0.32,0.42
583.994,-0.14,0.27,0.06,0.31
583.994,0.15,0.24,0.08,0.29
583.994,0.14,0.11,0.28,0.33
583.994,0.02,0.19,0.26,0.32
583.994,-0.00,0.21,0.15,0.26
583.994,-0.08,0.15,0.04,0.17
583.994,0.06,-0.04,-0.03,0.07
583.994,0.13,-0.22,0.00,0.25
583.994,0.33,-0.29,-0.05,0.44
583.994,0.28,-0.31,-0.08,0.43
583.994,0.18,-0.20,-0.17,0.32
583.994,-0.17,0.18,-0.18,0.31
583.994,0.49,0.19,-0.23,0.57
583.994,0.30,0.10,-0.08,0.33
583.995,0.08,0.11,0.07,0.16
583.995,0.06,0.09,0.06,0.13
583.995,0.04,0.07,-0.00,0.08
583.995,-0.01,0.08,0.02,0.08
583.995,0.01,0.02,0.03,0.04
583.995,0.02,-0.07,0.07,0.10
583.995,-0.12,-0.12,0.15,0.23
583.995,-0.15,-0.10,0.18,0.25
583.995,-0.09,-0.05,0.16,0.19
583.995,-0.08,-0.08,0.10,0.15
583.995,-0.15,-0.12,0.06,0.20
583.995,-0.17,-0.13,-0.02,0.21
583.995,-0.15,-0.23,-0.08,0.29
583.995,-0.13,-0.33,-0.07,0.36
583.995,-0.07,-0.37,-0.06,0.38
583.995,0.02,-0.38,-0.10,0.40
583.995,-0.02,-0.41,-0.09,0.42
583.995,0.00,-0.30,-0.15,0.34
583.995,0.02,-0.19,-0.19,0.27
583.995,0.04,-0.08,-0.16,0.19
583.995,0.05,0.04,-0.16,0.17
583.995,0.11,0.14,-0.13,0.22
583.995,0.21,0.14,-0.06,0.25
583.995,0.26,0.14,0.05,0.30
583.995,0.30,0.16,0.22,0.41
583.995,0.27,0.15,0.28,0.42
583.995,0.00,0.14,0.20,0.24
583.995,0.02,0.12,0.03,0.12
583.995,0.15,-0.07,-0.01,0.17
583.995,-0.06,-0.11,0.00,0.12
583.995,-0.10,-0.18,-0.13,0.24
583.995,-0.12,-0.20,-0.26,0.35
583.995,-0.06,-0.17,-0.34,0.38
583.995,0.05,-0.11,-0.37,0.39
583.995,0.12,0.01,-0.33,0.36
583.995,0.18,0.09,-0.30,0.36
583.995,0.21,0.09,-0.21,0.31
583.995,0.19,-0.01,-0.09,0.21
583.995,0.20,-0.08,0.01,0.21
583.995,0.22,-0.07,0.02,0.23
583.995,0.29,-0.09,0.04,0.30
583.995,0.28,-0.14,-0.03,0.31
583.995,0.23,-0.20,-0.21,0.37
583.995,0.11,-0.22,-0.33,0.41
583.995,-0.06,-0.17,-0.35,0.40
583.995,-0.08,-0.25,-0.36,0.44
583.995,-0.21,-0.28,-0.32,0.47
583.995,-0.28,-0.25,-0.21,0.43
583.995,-0.34,-0.24,-0.08,0.42
583.995,-0.29,-0.20,0.01,0.36
583.995,-0.27,-0.13,-0.01,0.30
583.995,-0.28,-0.14,-0.08,0.32
583.995,-0.28,-0.16,-0.11,0.34
583.995,-0.36,-0.04,-0.12,0.38
583.995,0.17,-0.22,-0.27,0.38
583.995,0.21,-0.37,-0.20,0.46
583.995,0.18,-0.43,-0.16,0.50
583.995,0.15,-0.42,-0.24,0.51
583.995,0.14,-0.40,-0.33,0.54
583.995,0.17,-0.34,-0.33,0.50
583.995,0.02,-0.24,-0.28,0.37
583.995,0.42,-0.42,-0.36,0.69
583.995,0.39,-0.46,-0.23,0.65
583.995,0.22,-0.39,-0.24,0.51
583.995,0.12,-0.27,-0.32,0.44
583.995,0.17,-0.19,-0.37,0.46
583.995,0.24,-0.10,-0.35,0.44
583.995,0.23,-0.09,-0.34,0.42
583.995,0.19,-0.10,-0.45,0.49
583.995,0.24,-0.14,-0.48,0.56
583.995,0.24,-0.27,-0.56,0.66
583.995,0.22,-0.32,-0.58,0.70
583.995,0.27,-0.40,-0.45,0.66
583.995,0.21,-0.37,-0.20,0.47
583.995,0.42,-0.34,-0.06,0.54
583.995,0.84,-0.44,0.11,0.95
583.995,0.95,-0.55,0.13,1.11
583.995,1.08,-0.70,0.01,1.28
583.995,1.07,-0.91,-0.14,1.42
583.995,1.21,-1.02,-0.37,1.63
583.995,1.50,-0.97,-0.66,1.90
583.995,1.73,-0.74,-0.75,2.02
583.995,1.88,-0.34,-0.73,2.05
583.995,1.92,0.11,-0.64,2.02
583.995,1.90,0.35,-0.57,2.02
