time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
495.636241,-0.0662,-0.05495132005032796,-0.0017,-0.030135766519646612,-0.1106,-0.07275510695107822,0.13,0.1365556075362176
495.63636,-0.0746,-0.05590979224299489,0.0337,-0.027021826689419947,-0.109,-0.07452315051444025,0.14,0.13672362668079235
495.652035,-0.0591,-0.0560654121335805,0.0452,-0.023498810753350682,-0.0694,-0.07427324073324804,0.1,0.13493223025733905
495.652155,-0.058,-0.056159782273405845,0.0353,-0.020630576082455526,-0.0395,-0.07257698508772374,0.08,0.13225260926917617
495.668135,-0.0498,-0.055849548991776285,0.0205,-0.018624206517457696,-0.0191,-0.0699683516688104,0.06,0.1287280917438505
495.684691,-0.05,-0.0555642051385189,-0.0232,-0.01884741595563049,-0.0145,-0.0672625784166733,0.06,0.12537550190268704
495.684786,-0.0704,-0.056287902448835046,0.0029,-0.017786566396819244,-0.028,-0.06534733068903069,0.08,0.12316206278548279
495.701246,-0.0741,-0.057156785256208945,-0.0022,-0.017026246084779283,-0.0199,-0.06313038772859016,0.08,0.12105659630814217
495.701374,-0.0635,-0.057466210365662164,-0.0072,-0.016546917007472975,-0.0311,-0.06156792979061015,0.07,0.11856603063457426
495.717475,-0.0792,-0.058526395225873766,-0.0026,-0.01586657959247429,-0.0231,-0.05969144541058038,0.08,0.11668476084752186
495.733703,-0.0675,-0.058964132044123825,-0.003,-0.015238941563573105,-0.017,-0.05760893587835694,0.07,0.11440745544032567
495.733847,-0.0499,-0.05852197926148364,-0.0031,-0.0146467980726671,0.0026,-0.05467191461599807,0.05,0.11126562834567563
495.750089,-0.0516,-0.05818432173653322,-0.0174,-0.014781100605707729,0.0603,-0.049063528537168895,0.08,0.10974047574344756
495.750225,-0.0678,-0.05865337921279989,-0.0151,-0.014796656673721984,0.0917,-0.04219701494998992,0.12,0.11024094034132817
495.770158,-0.1005,-0.060694677787785256,-0.0176,-0.014933405128662374,0.0802,-0.03622642885486846,0.13,0.11120479691004387
495.770394,-0.1092,-0.06306079106642988,-0.0059,-0.014492751219947137,0.002,-0.03436172500828951,0.11,0.11114602632906612
495.78908,-0.024,-0.061155386624165003,-0.0276,-0.015132129209218007,0.1201,-0.026827006715202214,0.13,0.1120657323617946
495.790068,0.0241,-0.05699658727664476,-0.0398,-0.016335439979500054,0.1278,-0.019284225899826493,0.14,0.11342837956365827
495.805512,0.0171,-0.0533821196046133,-0.0378,-0.017382491687817123,0.0715,-0.014855727075444712,0.08,0.1117977269020164
495.821393,-0.014,-0.05146104059951021,-0.0727,-0.020080906727435798,-0.0377,-0.015970081852252287,0.08,0.11024661827264975
495.822366,-0.0571,-0.05173611178977801,-0.0783,-0.02292086249682917,-0.0909,-0.019625199810679006,0.13,0.11121019786910587
495.837823,-0.0643,-0.05234898438539859,-0.0669,-0.02506618627747165,-0.0919,-0.023150799819914178,0.13,0.11212677358280802
495.854387,-0.0443,-0.05195635100074499,0.0163,-0.02304832353222913,-0.0829,-0.02606539495065007,0.1,0.11153522365193934
495.855341,-0.0366,-0.05120726070802572,0.0114,-0.021367917506266734,-0.0394,-0.02671586348964275,0.05,0.10853350542501547
495.870506,-0.0265,-0.05000202847836593,0.0016,-0.020247531286448843,0.069,-0.022046796977952858,0.07,0.1066538222335513
495.886704,-0.033,-0.049172661235518805,-0.0273,-0.020591554150524508,0.1558,-0.013371343466833205,0.16,0.1092560748075244
495.886839,-0.0323,-0.048349604589883736,-0.0563,-0.022333429557815997,0.2357,-0.0012215218343047552,0.24,0.11563382725593783
495.903035,-0.0624,-0.049034989731840624,-0.083,-0.025292774457434726,0.2249,0.009808796303954013,0.25,0.12218827470686769
495.903177,-0.0615,-0.04964303901321425,-0.0788,-0.02790288302048669,0.1331,0.01582300136229772,0.17,0.12452055398945949
495.919639,-0.0389,-0.04911898832964282,-0.0706,-0.029985669214609288,-0.05,0.012612123247063683,0.09,0.12283662452655902
495.922591,-0.0268,-0.04803025719161146,-0.0736,-0.032113197545603954,-0.0866,0.007772507478914235,0.12,0.1226982525984342
495.93922,-0.0147,-0.04640439098714261,-0.0839,-0.034639383031184245,-0.0945,0.0027836046750647596,0.13,0.12305443539851058
495.955049,-0.0386,-0.0460236889877698,-0.0636,-0.03605209605405331,-0.0674,-0.0006399857968896194,0.1,0.12192982879370518
